127.0.0.1 - - [28/Dec/2021:16:02:09 +0000] "GET /static/assets/images/horizontalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:09 +0000] "GET /static/assets/qr_preview.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:10:24 +0000] "GET /qr-code/login HTTP/1.1" 200 2747 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/login HTTP/1.1" 200 5860 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /docs/5.0/dist/css/bootstrap.min.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /docs/5.0/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:35 +0000] "GET /qr-code/login HTTP/1.1" 200 2896 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/dist/css/bootstrap.min.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
